2. . . . . . . . .2. . . . . . .,0,11
2.2. . . . . . . . . .4. . . . .,0,9
2.2. .4. . . . . .2. . . . . . .,1,13
 . .4.4. . . . . . . .2. .2. . .,2,5
 . . . . .2. . . . . .4. .2.4.2.,0,0
2.4.4.4. . . .2. . . . . . . . .,2,5
 . . . . .2. . . . . .4.2.4.4.2.,0,6
2.2.4.4. .4.2.2. . . . . . . . .,2,8
 . . . . . . . .2.2.4.4.2.4.2.2.,0,8
4.2.4.4. .4.2.2.2. . . . . . . .,0,11
4.2.4.4.2.4.2.2. . . .2. . . . .,2,2
 . .2. . . . . .4.2.4.4.2.4.2.4.,1,0
2. . .2. . . . . .4.2.8.2.4.2.4.,1,6
 . . .4. . .2. . .4.2.8.2.4.2.4.,1,8
 . . .4. . . .2.2.4.2.8.2.4.2.4.,3,5
4. . . .2.2. . .2.4.2.8.2.4.2.4.,1,4
 . . .4.2. . .4.2.4.2.8.2.4.2.4.,3,2
4. .4. .2.4. . .2.4.2.8.2.4.2.4.,0,9
4.8.4.8.4.4.4.4.2.2. . . . . . .,0,11
8.8.8.8.2.4. .4. .2. .2. . . . .,1,4
 . .16.16.2. .2.8. . . .4. . . . .,0,9
2. .16.16. . .2.8. .2. .4. . . . .,1,4
 . .2.32.2. .2.8. . .2.4. . . . .,0,15
2. .4.32. . .2.8. . . .4. . . .2.,2,9
 . . .32. . . .8. .2.4.4.2. .2.2.,2,2
 . .2.32. . . .8. . .4.4.2.2.2.2.,2,2
 . .2.32. . .2.8. . .4.4.2.2.2.2.,0,9
2.2.4.32. . .4.8. .2.2.4. . . .2.,2,9
 . . .32. . . .8. .2.8.4.2.4.2.2.,0,10
2.2.8.32. .4.2.8. . .2.4. . . .2.,0,13
2.2.8.32. .4.4.8. . . .4. .2. .2.,0,10
2.2.8.32. .4.4.8. .2.2.4. . . .2.,2,4
 . . .32.4.2.8.8. .4.4.4.2.2.2.2.,2,2
 . .2.32. .2.8.8.4.4.4.4.2.2.2.2.,0,8
4.2.2.32.2.4.8.8.2.2.4.4. . .2.2.,2,0
2. .2.32. .2.8.8.4.4.4.4.4.2.2.2.,1,4
 . .4.32.4. .2.16. . .8.8. .4.2.4.,0,13
4.4.4.32. . .2.16. . .8.8. .2.2.4.,2,1
 .2.4.32. . .2.16. .4.8.8.4.2.2.4.,2,4
 . .4.32.2.2.2.16. .4.8.8.4.2.2.4.,2,0
2. .4.32. .2.2.16.2.4.8.8.4.2.2.4.,2,0
4. .4.32. .2.2.16.4.4.8.8.4.2.2.4.,2,1
 .4.4.32. .2.2.16.4.4.8.8.8.2.2.4.,0,12
4.4.4.32.8.2.2.16. .4.8.8.2.2.2.4.,2,0
2.4.4.32.4.2.2.16.8.4.8.8.2.2.2.4.,1,8
 .2.8.32. .4.4.16.4.8.4.16. .2.4.4.,0,12
4.2.8.32. .4.8.32. .8.4.4.4.2. . .,1,12
4.2.8.32. .4.8.32. . .8.8.2. .4.2.,0,12
4.2.16.64.2.4.8.8. . .4.2.2. . . .,3,7
4.2.16.64.2.4.16.2.4.2. . .2. . . .,1,12
4.2.16.64.2.4.16.2. . .4.2.2. . .2.,1,12
4.2.16.64.2.4.16.2. . .4.2.2. . .4.,1,8
4.2.16.64.2.4.16.2.4. .4.2. . .2.4.,0,12
4.2.32.64.2.4.4.4.4. .2.4.2. . . .,1,4
4.2.32.64.2.2.4.8. .4.2.4. . . .2.,0,9
4.4.32.64.2.4.4.8. .2.2.4. . . .2.,0,8
4.8.32.64.2.2.4.8.2. .2.4. . . .2.,0,14
4.8.32.64.4.2.4.8. . .2.4. . .2.2.,3,13
4.8.32.64.4.2.4.8.2.4. . .4.2. . .,1,9
4.8.32.64.4.2.4.8. .2.2.4. . .4.2.,3,14
4.8.32.64.4.2.4.8.4.4. . .4.2.2. .,1,9
4.8.32.64.4.2.4.8. .2. .8. . .4.4.,1,8
4.8.32.64.4.2.4.8.2. .2.8. . . .8.,1,8
4.8.32.64.4.2.4.8.2. .4.8. . . .8.,1,8
4.8.32.64.4.2.4.8.2.2.4.8. . . .8.,1,8
4.8.32.64.4.2.4.8.2.4.4.8. . . .8.,1,13
4.8.32.64.4.2.4.8. .2.8.8. .2. .8.,1,9
4.8.32.64.4.2.4.8. .2.2.16. . .2.8.,1,8
4.8.32.64.4.2.4.8.2. .4.16. . .2.8.,1,12
4.8.32.64.4.2.4.8. .2.4.16.2. .2.8.,1,13
4.8.32.64.4.2.4.8. .2.4.16. .2.4.8.,0,13
8.8.32.64. .4.8.8. .2.4.16. .4. .8.,1,0
2.16.32.64. . .4.16. .2.4.16. . .4.8.,0,4
2.16.32.64.2.2.8.32. . .4.8. . . . .,0,4
4.16.32.64.2.2.8.32. . .4.8. . . . .,3,14
4.16.32.64.4.8.32. .4.8. . . . .2. .,3,7
4.16.32.64.4.8.32.2.4.8. . .2. . . .,0,11
8.16.64.64.4.16. .2.2. . .2. . . . .,1,13
 .8.16.128. .4.16.2. . . .4. .4. . .,0,13
 .8.32.128. .8. .2. . . .4. .2. . .,0,12
 .16.32.128. .2. .2. . . .4.2. . . .,0,10
2.16.32.128. .2. .2. . .2.4. . . . .,0,8
2.16.32.128. .2.2.2.2. . .4. . . . .,0,10
4.16.32.128. .2.2.2. . .2.4. . . . .,3,12
4.16.32.128.4.2. . .2.4. . .2. . . .,0,7
8.16.32.128.4.2. .2. .4. . . . . . .,3,6
8.16.32.128.4.4.2. .4. . . . . . . .,0,7
8.16.32.128.8.4.2.2. . . . . . . . .,1,14
8.16.32.128. .8.4.4. . . . . . .2. .,0,14
8.16.32.128. .8.4.4. . .2. . . .2. .,1,12
8.16.32.128. . .8.8. . . .2.2. . .2.,0,10
8.16.32.128.2. .8.8. . .2.4. . . . .,3,11
8.16.32.128.2.16. . .2.4. .2. . . . .,1,8
8.16.32.128. . .2.16.2.2.4.2. . . . .,3,7
8.16.32.128.2.16. .2.4.4.2. . . . . .,0,12
8.32.32.128.2.4.2.2.4. . . .2. . . .,1,8
 .8.64.128. .2.4.4.2. . .4. . . .2.,1,9
 .8.64.128. . .2.8. .2.2.4. . . .2.,1,13
 .8.64.128. . .2.8. . .4.4. .2. .2.,0,9
 .8.64.128. .2.2.8. .2.4.4. . . .2.,0,12
 .8.64.128. .4.2.8. . .4.4.2. . .2.,0,12
2.8.64.128. .4.2.8. . .4.4.2. . .2.,0,4
4.8.64.128.2.4.2.8. . .4.4. . . .2.,1,14
4.8.64.128.2.4.2.8. . . .8. . .2.2.,1,10
4.8.64.128.2.4.2.8. . .2.8. . . .4.,3,10
4.8.64.128.2.4.2.8.2.8.2. .4. . . .,0,14
4.8.64.128.4.4.4.8.4.8. . . . .2. .,1,8
4.8.64.128. .4.8.8.2. .4.8. . . .2.,0,14
4.8.64.128.2.4.8.16. . .4.2. . .4. .,1,8
4.8.64.128.2.4.8.16.2. .4.2. . . .4.,3,14
4.8.64.128.2.4.8.16.2.4.2. .4. .2. .,1,12
4.8.64.128.2.4.8.16. .2.4.2.2. .4.2.,3,15
4.8.64.128.2.4.8.16.2.4.2. .2.4.2.2.,3,15
4.8.64.128.2.4.8.16.2.4.2. .2.4.4.2.,0,15
4.8.64.128.4.8.8.16.2.4.2.2. . .4.2.,0,13
8.16.64.128.2.4.8.16. . .2.4. .2.4. .,3,10
8.16.64.128.2.4.8.16.2.4.2. .2.4. . .,1,12
8.16.64.128.2.4.8.16. .2.4.2.2. .2.4.,3,11
8.16.64.128.2.4.8.16.2.4.2.2.4.4. . .,1,8
8.16.64.128.2.4.8.16.2.2.4.4. . . .8.,0,8
8.16.64.128.4.4.8.16.2.2.4.4. . . .8.,1,13
8.16.64.128. .8.8.16. . .4.8. .2. .8.,1,13
8.16.64.128. . .16.16. . .4.8. .2.2.8.,0,15
8.16.64.128. .2.16.16. . .4.16. . .2.2.,0,13
8.16.64.128. .2.16.32. . .4.2. .2.2. .,0,8
8.16.64.128. .4.16.32.2. .4.2. . .2. .,3,11
8.16.64.128.4.16.32. .2.4.2.2.2. . . .,0,13
8.32.64.128.4.4.32.2.4. .2. . .2. . .,3,7
8.32.64.128.8.32.2.2.4.2. . .2. . . .,0,11
16.64.64.128.4.2.2.2.2. . .2. . . . .,0,11
16.64.64.128.4.2.2.4.2. . .4. . . . .,0,15
16.64.64.128.4.2.2.8.2. . . . . . .2.,0,12
16.64.64.128.4.2.2.8.2. . .2.2. . . .,1,8
 .16.128.128. .4.4.8.2. . .4. . . .2.,0,13
2.16.128.128. .4.4.8. . . .4. .2. .2.,0,8
2.16.128.128. .4.4.8.2.2. .4. . . .2.,0,13
4.16.128.128. .4.4.8. .2. .4. .2. .2.,1,9
 .4.16.256. . .8.8. .2.2.4. . . .4.,0,12
 .4.16.256. .2.8.8. . .2.8.2. . . .,0,13
2.4.16.256. .2.8.16. . .2. . .2. . .,0,13
2.4.16.256. .4.8.16. . .2. . .2. . .,1,8
2.4.16.256. .4.8.16.2. . .2. . . .2.,1,8
2.4.16.256. .4.8.16.2. . .4. . . .2.,1,13
2.4.16.256. .4.8.16. . .2.4. .2. .2.,0,14
2.8.16.256. .2.8.16. . .2.4. . .4.2.,2,5
 . .16.256. .2.8.16. .8.2.4.2.2.4.2.,0,12
2.2.16.256. .8.8.16. .2.2.4.2. .4.2.,0,4
4.2.16.256.2.8.8.16. .2.2.4. . .4.2.,2,4
 . .16.256.2.2.8.16.4.8.2.4.2.2.4.2.,0,12
2.2.16.256.4.8.8.16.2.2.2.4.2. .4.2.,0,12
2.2.16.256.4.8.8.16.4.2.2.4.2. .4.2.,1,4
 .4.16.256.2.4.16.16. .4.4.4. .2.4.2.,0,13
2.8.32.256. .4.8.16. .2. .4. .2. .2.,0,4
2.8.32.256.2.4.8.16. .4. .4. . . .2.,1,13
2.8.32.256.2.4.8.16. . . .8. .2. .2.,3,11
2.8.32.256.2.4.8.16.8. . .2.4. . . .,3,10
2.8.32.256.2.4.8.16.8.2.2. .4. . . .,3,14
2.8.32.256.2.4.8.16.8.4. . .4. .2. .,1,8
2.8.32.256.2.4.8.16.2. .8.4. . .4.2.,1,8
2.8.32.256.2.4.8.16.2.2.8.4. . .4.2.,0,8
4.8.32.256.2.4.16.16.2.2.4.4. . . .2.,0,8
4.8.32.256.4.4.16.16.2.2.4.4. . . .2.,1,4
4.8.32.256.2. .8.32. . .4.8. . . .2.,1,13
4.8.32.256. .2.8.32. . .4.8. .2. .2.,0,9
4.8.32.256. .4.8.32. .2.4.8. . . .2.,3,11
4.8.32.256.4.8.32. .2.4.8.2.2. . . .,1,4
4.8.32.256.2.4.8.32.2.4.8.2. . . .2.,3,13
4.8.32.256.2.4.8.32.2.4.8.2.2.2. . .,1,13
4.8.32.256.2.4.8.32.2.4.8.2. .2. .4.,3,14
4.8.32.256.2.4.8.32.2.4.8.2.2.4.2. .,1,12
4.8.32.256.2.4.8.32.2.4.8.2.2.2.4.2.,0,13
4.8.32.256.4.8.16.32.2.2.4.4. .2. . .,3,13
4.8.32.256.4.8.16.32.4.8. . .2.2. . .,1,9
4.8.32.256.4.8.16.32. .2.4.8. . . .4.,3,14
4.8.32.256.4.8.16.32.2.4.8. .4. .2. .,3,14
4.8.32.256.4.8.16.32.2.4.8. .4.2.2. .,1,13
4.8.32.256.4.8.16.32. .2.4.8. .2.4.4.,1,12
4.8.32.256.4.8.16.32. .2.4.8.2. .2.8.,1,13
4.8.32.256.4.8.16.32. .2.4.8. .2.4.8.,3,15
4.8.32.256.4.8.16.32.2.4.8. .2.4.8.2.,1,8
4.8.32.256.4.8.16.32.4.2.4.8.2.4.8.2.,0,13
8.16.32.256.4.2.16.32.2.4.4.8. .2.8.2.,1,8
8.16.32.256.4.2.16.32.2.2.8.8. .2.8.2.,0,14
8.16.32.256.4.4.16.32.2.2.16.8. . .2.2.,1,8
8.16.32.256. .8.16.32.2.4.16.8. . . .4.,0,10
8.16.32.256.2.8.32.32. .4.2.8. . . .4.,1,14
8.16.32.256. .2.8.64. .4.2.8. . .2.4.,0,8
8.16.32.256. .2.8.64.2.4.4.8. . . .4.,0,12
8.16.32.256.2.2.8.64. .4.4.8.2. . .4.,0,12
8.16.32.256.4.2.8.64. .4.4.8.2. . .4.,0,12
8.16.32.256.4.2.8.64.2.4.4.8.2. . .4.,0,12
8.16.32.256.4.2.8.64.4.4.4.8.2. . .4.,0,12
8.16.32.256.8.2.8.64.2.4.4.8.2. . .4.,0,8
16.16.32.256.4.2.8.64.2.4.4.8. . . .4.,1,14
 .32.32.256.4.2.8.64. .2.8.8. . .2.4.,1,12
 . .64.256.4.2.8.64. . .2.16.2. .2.4.,2,4
 . . .256.2. .64.64.4. .8.16.2.2.4.4.,1,5
 . . .256. .2.2.128. .4.8.16. . .4.8.,0,13
 .2.2.256. .4.8.128. . .4.16. .2. .8.,0,13
 .2.2.256. .4.8.128. .2.4.16. .2. .8.,1,12
 . .4.256. .4.8.128. .2.4.16.2. .2.8.,0,9
2.4.4.256. .2.8.128. .2.4.16. . .2.8.,1,4
 .2.8.256.2.2.8.128. .2.4.16. . .2.8.,0,13
2.4.16.256. .2.4.128. . .2.16. .2. .8.,1,9
2.4.16.256. .2.4.128. .2.2.16. . .2.8.,0,12
2.4.16.256. .4.4.128. . .4.16.4. . .8.,1,12
2.4.16.256. . .8.128. . .4.16.2. .4.8.,1,5
2.4.16.256. .2.8.128. . .4.16. .2.4.8.,0,13
2.4.16.256. .4.8.128. . .8.16. .2. .8.,1,8
2.4.16.256. .4.8.128.2. .8.16. . .2.8.,1,12
2.4.16.256. .4.8.128. .2.8.16.2. .2.8.,1,8
2.4.16.256. .4.8.128.2.2.8.16. . .4.8.,1,8
2.4.16.256. .4.8.128.2.4.8.16. . .4.8.,0,14
4.8.16.256. .4.16.128. . .4.16. . .2.8.,0,4
4.8.32.256.2.4.4.128. . .2.16. . . .8.,1,4
4.8.32.256.2.2.8.128. . .2.16. . . .8.,1,12
4.8.32.256. .4.8.128. . .2.16.2. . .8.,0,14
4.8.32.256.2.4.8.128. . .2.16. . .2.8.,0,13
4.8.32.256.2.4.8.128. . .4.16. .2. .8.,1,12
4.8.32.256.2.4.8.128. . .4.16.2. .2.8.,1,12
4.8.32.256.2.4.8.128. . .4.16.4. .4.8.,1,9
4.8.32.256.2.4.8.128. .2.4.16. . .8.8.,2,0
2. .32.256. .8.8.128.4.4.4.16.2.2.8.8.,2,1
 .2.32.256.2.8.8.128.4.4.4.16.2.2.8.8.,1,0
2.2.32.256. .2.16.128. .4.8.16. . .4.16.,0,15
2.4.32.256. .4.16.128. . .8.32. . .4.2.,0,8
2.8.32.256. . .16.128.2. .8.32. . .4.2.,0,9
4.8.32.256. . .16.128. .2.8.32. . .4.2.,2,1
 .4.32.256. . .16.128. .8.8.32.4.2.4.2.,2,4
 . .32.256.2.4.16.128. .8.8.32.4.2.4.2.,2,4
