 . . . . . .2. . . . . . . . .2.,0,7
 . .2.2. . . .2. . . . . . . . .,0,0
2. .2.4. . . . . . . . . . . . .,2,8
 . . . . . . . .2. . . .2. .2.4.,0,5
4. .2.4. .2. . . . . . . . . . .,0,10
4.2.2.4. . . . . . .4. . . . . .,0,8
4.2.2.4. . .4. .2. . . . . . . .,0,11
4.2.2.4.2. .4. . . . .2. . . . .,2,1
 .2. . . . . . .4. .2.4.2.2.4.2.,3,3
2. . .2. . . . .4.2.4. .4.4.2. .,2,2
 . .2. . . . . .2.2.4. .8.4.2.2.,2,4
 . . . .2. .2. .2.2.4. .8.4.2.2.,2,3
 . . .2. . .2. .4.2.4. .8.4.2.2.,2,11
 . . . . . .2. .4.2.4.2.8.4.2.4.,1,2
 . .2. . . . .2.4.2.4.2.8.4.2.4.,3,1
2.4. . .2. . . .4.2.4.2.8.4.2.4.,0,14
4.4.4.2.4.2.2.4.8.4. . . . .4. .,3,15
8.4.2. .4.4.4. .8.4. . .4. . .4.,3,3
8.4.2.2.8.4. . .8.4. . .8. . . .,1,4
 .8.4.4.2. .8.4. . .8.4. . . .8.,1,0
2. .8.8. .2.8.4. . .8.4. . . .8.,2,5
 . . . . .4. .8. . .8.8.2.2.16.8.,2,0
2. . . . . . . . .4.8.8.2.2.16.16.,1,0
2. . .2. . . . . . .4.16. . .4.32.,1,13
 . . .4. . . . . . .4.16. .2.4.32.,2,6
 . . . . . .2.4. . . .16. .2.8.32.,2,4
 . . . .2. . .4. . .2.16. .2.8.32.,1,12
 . . . . . .2.4. . .2.16.2.2.8.32.,1,5
 . . . . .2.2.4. . .2.16. .4.8.32.,2,4
 . . . .2. . .4. .2.4.16. .4.8.32.,2,8
 . . . . . . .4.2.2.4.16.2.4.8.32.,2,4
 . . . .4. . .4. .2.4.16.4.4.8.32.,2,2
 . .2. . . . .4. .2.4.16.8.4.8.32.,2,5
 . . . . .4.2.4. .2.4.16.8.4.8.32.,3,7
 . . . .4.2.4.2.2.4.16. .8.4.8.32.,1,3
 . . .2.4.2.4.2. .2.4.16.8.4.8.32.,2,4
 . . . .2. . .4.4.4.8.16.8.4.8.32.,2,3
 . . .2.2. . .4.4. . .16.8.8.16.32.,1,1
 .2. .2. . .2.4. . .4.16. .16.16.32.,2,0
2. . .2. . .2.4. .2.4.16. .16.16.32.,2,0
2. . .2. . .2.4. .2.4.16.2.16.16.32.,2,2
 . .2.2. . .2.4. .2.4.16.4.16.16.32.,1,4
 . . .4.4. .2.4. .2.4.16. .4.32.32.,2,3
 . . .2. . .2.8. .2.4.16.4.4.32.32.,1,0
2. . .2. . .2.8. .2.4.16. . .8.64.,1,13
 . . .4. . .2.8. .2.4.16. .4.8.64.,0,8
 .2.2.4. .4.4.8.2. .8.16. . . .64.,2,4
 . . .4.4. .2.8. .2.4.16.2.4.8.64.,0,14
4.2.2.4.2.4.4.8. . .8.16. . .4.64.,2,5
 . .2.4. .2.4.8.4.2.8.16.2.4.4.64.,1,12
 . .2.4. .2.4.8.4.2.8.16.2.2.8.64.,1,0
2. .2.4. .2.4.8.4.2.8.16. .4.8.64.,1,0
2. .4.4. .2.4.8.4.2.8.16. .4.8.64.,1,12
 . .2.8. .2.4.8.4.2.8.16.2.4.8.64.,3,3
2.8. .2.2.4.8. .4.2.8.16.2.4.8.64.,1,0
2.2.8.2. .2.4.8.4.2.8.16.2.4.8.64.,1,0
2.4.8.2. .2.4.8.4.2.8.16.2.4.8.64.,2,1
 .2. .2.2.4.8.8.4.4.4.16.2.4.16.64.,2,2
 . .2.2.2.2.8.8.4.4.4.16.2.8.16.64.,0,12
2.2.2.2.4.4.8.8.2.8.4.16.2. .16.64.,2,1
 .2.2.2.2.2.8.8.4.4.4.16.4.8.16.64.,1,8
 . .2.4. . .4.16.2.4.8.16.4.8.16.64.,2,5
 . .2. . .2.4.4.2.4.8.32.4.8.16.64.,3,3
2. . .2.2.8. . .2.4.8.32.4.8.16.64.,3,1
4.2. . .2.8. . .2.4.8.32.4.8.16.64.,1,0
2. .4.2. . .2.8.2.4.8.32.4.8.16.64.,1,0
2.2.4.2. . .2.8.2.4.8.32.4.8.16.64.,2,1
 .2.4.2. .2.2.8.4.4.8.32.4.8.16.64.,2,1
 .2.4.2. .4.2.8. .4.8.32.8.8.16.64.,1,12
 .2.4.2. .4.2.8. .4.8.32.4.16.16.64.,1,0
2.2.4.2. .4.2.8. .4.8.32. .4.32.64.,2,0
2. .4.2. .2.2.8. .4.8.32.2.8.32.64.,3,7
2.4.2. .4.8. .2.4.8.32. .2.8.32.64.,2,6
 . . . .2.4.2. .8.8.2.2.2.16.64.64.,1,2
 . .2. . .2.4.2. . .16.4. .2.16.128.,1,9
 . . .2. .2.4.2. .2.16.4. .2.16.128.,2,5
 . . . . .2. .4. .2.4.4. .4.32.128.,2,6
 . . . . . .2. . .4.4.8. .4.32.128.,1,3
 . . .2. . . .2. . .8.8. .4.32.128.,2,1
 .2. . . . . .4. . .8.8. .4.32.128.,2,3
 . . .2. . . .4. .2.8.8. .4.32.128.,1,4
 . . .2.2. . .4. . .2.16. .4.32.128.,2,1
 .2. .2. . . .4. . .2.16.2.4.32.128.,2,1
 .2. .2. . . .4. .2.2.16.2.4.32.128.,2,1
 .2. .2. . . .4. .4.2.16.2.4.32.128.,2,0
2. . .2. . . .4. .2.2.16.2.8.32.128.,2,6
 . . .2. . .2.4. .2.2.16.4.8.32.128.,1,9
 . . .2. . .2.4. .2.4.16.4.8.32.128.,3,3
2. . .2.2.4. . .2.4.16. .4.8.32.128.,1,1
 .2. .4. . .2.4. .2.4.16.4.8.32.128.,1,1
 .2.2.4. . .2.4. .2.4.16.4.8.32.128.,1,5
 . .4.4. .2.2.4. .2.4.16.4.8.32.128.,1,8
 . . .8. . .4.4.4.2.4.16.4.8.32.128.,1,2
 . .2.8. . . .8.4.2.4.16.4.8.32.128.,2,5
 . . . . .2.2.16. .2.4.16.8.8.32.128.,1,5
 . . . . .2.4.16. .2.4.16. .16.32.128.,2,0
4. . . . . . . . .4.8.32. .16.32.128.,1,0
2. . .4. . . . . .4.8.32. .16.32.128.,2,8
 . . . . . . .4.2.4.8.32.2.16.32.128.,3,5
 . . . .4.2. . .2.4.8.32.2.16.32.128.,1,1
 .2. . . . .4.2.2.4.8.32.2.16.32.128.,1,2
 . .2.2. . .4.2.2.4.8.32.2.16.32.128.,1,0
2. . .4. . .4.2.2.4.8.32.2.16.32.128.,1,1
 .2.2.4. . .4.2.2.4.8.32.2.16.32.128.,3,2
4.4.2. .4.2. . .2.4.8.32.2.16.32.128.,3,6
8.2. . .4.2.2. .2.4.8.32.2.16.32.128.,3,2
8.2.2. .4.4. . .2.4.8.32.2.16.32.128.,2,1
 .2. . .8.2.2. .4.8.8.32.4.16.32.128.,3,6
2. . . .8.4.2. .4.16.32. .4.16.32.128.,2,0
2. . . .2. . . .8.4.2. .8.32.64.128.,1,5
