 .2. .2. . . . . . . . . . . . .,2,6
 . . . . . .2. . . . . . .2. .2.,3,8
 . . . .2. . . .2. . . .4. . . .,0,8
4. . . .4. . . .2. . . . . . . .,1,0
2. . .4. . . .4. . . .2. . . . .,2,5
 . . . . .2. . . . . .8.2. . .2.,3,7
 . . . .2. . .2.8. . . .4. . . .,0,2
2. .2.2.8. . . .4. . . . . . . .,1,13
 . .2.4. . . .8. . . .4. .2. . .,2,8
 . . . . . . .4.2. . .8. .2.2.4.,3,0
2. . . .4. . . .2.8. . .4.4. . .,0,11
2.8. . .4.4. . .2. . .2.4. . . .,1,5
 . .2.8. .2. .8. . . .4. . . .4.,2,1
 .2. . . . . . . . . .16. .2.2.8.,3,6
2. . . . . .2. .16. . . .4.8. . .,0,14
2.8.2. .16. . . .4. . . . . .2. .,1,0
2.2.8.2. . . .16. . . .4. . . .2.,2,4
 . . .2.2. . .16. . . .4.2.2.8.2.,3,1
2.2. . .2.16. . .4. . . .4.8.2. .,0,14
4.2.2. .8.16. . . .8. . . . .2. .,1,8
 . .4.4. . .8.16.2. . .8. . . .2.,2,13
 . . .4. . . .16. . .4.8.2.2.8.2.,3,5
4. . . .16.2. . .4.8. . .4.8.2. .,0,15
4.2.2. .16.16. . .8. . . . . . .2.,1,12
 . .4.4. . . .32. . . .8.2. . .2.,2,8
 . . .4. . . .32.2. . .8.2. .4.2.,3,5
4. . . .32.2. . .2.8. . .2.4.2. .,0,7
4.2.2. .32.8. .2.4.4. . . . . . .,1,13
 . .4.4. .32.8.2. . . .8. .2. . .,2,3
 . . .2. . . .4. .32.4.2. .2.8.8.,3,2
2. .2. .4. . . .32.4.2. .2.16. . .,0,6
2.4.4. .4.16.2. .32. . . .2. . . .,1,4
 . .2.8.2.4.16.2. . . .32. . . .2.,2,0
2. . .8. . . .2. . .2.32.2.4.16.2.,3,5
2.8. . .2.2. . .2.32. . .2.4.16.2.,0,11
4.8.16.2.4.2. . . .32. .2. .4. . .,1,12
4.8.16.2. . .4.2. . .32.2.2. . .4.,2,5
 . . . . .2.16.2.4. .4.4.2.8.32.4.,3,11
 . . . .2.16.2. .8.4. .2.2.8.32.4.,0,15
2.16.2.2.8.4.32.4.2.8. . . . . .2.,1,0
2.2.16.4.8.4.32.4. . .2.8. . . .2.,2,5
 . . . . .2.16.8.2.2.32.8.8.4.2.2.,3,0
2. . . .2.16.8. .4.32.8. .8.4.4. .,0,15
4.16.16. .4.32.4. .8.4. . . . . .2.,1,13
 . .4.32. .4.32.4. . .8.4. .2. .2.,2,1
 .2. . . . .4.32. .4.32.8. .2.8.2.,3,15
2. . . .4.32. . .4.32.8. .2.8.2.2.,0,10
2.64.8.2.8.8.2. .2. .2. . . . . .,1,4
2.64.8.2.2. .16.2. . . .4. . . . .,2,9
 . . . . . . . . .2.8.4.4.64.16.4.,3,4
 . . . .2. . . .2.8.4. .4.64.16.4.,0,7
4.8.4.4.4.64.16.2. . . . . . . . .,1,11
