 . . . . . . . . .2. . .4. . . .,2,6
 . . . . . .2. . . . . .4.2. . .,0,10
4.2.2. . . . . . . .2. . . . . .,3,2
4.4.2. . . . . .2. . . . . . . .,2,7
 . . . . . . .2.4. . . .2.4.2. .,2,1
 .2. . . . . . .4. . . .2.4.2.2.,0,15
4.2.2.2.2.4. . . . . . . . . .2.,0,14
4.2.2.4.2.4. . . . . . . . .2. .,2,6
 . . . . . .2. .4.2. . .2.4.4.4.,2,5
 . . . . .2. . .4.2.2. .2.4.4.4.,0,9
4.4.2.4.2.4.4. . .2. . . . . . .,1,4
 .8.2.4.2. .2.8. . . .2. . . . .,0,15
2.8.4.4. . . .8. . . .2. . . .2.,2,0
2. . . . . . .4. . . .8.2.8.4.4.,0,5
4.8.4.4. .2. .8. . . .4. . . . .,1,10
 .4.8.8. . .2.8. . .2.4. . . . .,1,8
 . .4.16. . .2.8.2. .2.4. . . . .,1,9
 . .4.16. . .2.8. .2.4.4. . . . .,1,1
 .2.4.16. . .2.8. . .2.8. . . . .,0,11
 .2.4.16. . .4.16. . . .2. . . . .,0,10
 .2.8.32. . . .2. . .2. . . . . .,0,11
 .2.8.32. . .2.2. . . .2. . . . .,1,14
 .2.8.32. . . .4. . . .2. . .2. .,1,4
 .2.8.32.2. . .4. . . .2. . . .2.,1,8
 .2.8.32. . .2.4.2. . .2. . . .2.,0,9
2.2.8.32. . .2.4. .2. .4. . . . .,1,13
 .4.8.32. . .2.4. . .2.4. .2. . .,1,12
 .4.8.32. . .2.4. . .2.4.2. . .2.,1,14
 .4.8.32. . .2.4. . .2.4. . .2.4.,0,12
 .4.8.32. . .4.8. . .2.4.2. . . .,1,5
 .4.8.32. .2.4.8. . .2.4. . . .2.,2,5
 . . .32. .2.8.8. .4.4.4. .2.2.2.,0,13
 .2.8.32. .4.4.8. .2.2.4. .2. .2.,2,12
 . . .32. .2.8.8. .4.4.4.2.4.2.2.,1,5
 . . .32. .2.2.16. . .4.8. .2.4.4.,1,1
 .4. .32. . .4.16. . .4.8. . .2.8.,1,5
 . .4.32. .2.4.16. . .4.8. . .2.8.,0,0
2.2.8.32. . .4.16. . .2.16. . . . .,2,7
 . . . . . .8.2. . .4.32.2.2.2.32.,1,4
 . . . .2. .8.2. . .4.32. .2.4.32.,2,8
 . . . . . . . .2. .8.2.2.2.8.64.,1,7
 . . . . . . .2. .2.8.2. .4.8.64.,2,8
 . . . . . . . .4.2. .4. .4.16.64.,1,1
 .4. . . . . . . .4.2.4. .4.16.64.,1,2
 . .2.4. . . . . .4.2.4. .4.16.64.,3,15
2.4. . . . . . .4.2.4. .4.16.64.2.,2,11
 . . . . .4. . .2.2.4.2.8.16.64.2.,3,11
 . . . .4. . . .4.4.2.2.8.16.64.2.,2,7
 . . . . . . .2.8.4.2. .8.16.64.4.,2,2
 . .2. . . . . . .4.2.2.16.16.64.4.,3,6
2. . . . . .2. .4.4. . .32.64.4. .,2,7
 . . . .2. . .4.4.4.2. .32.64.4. .,2,3
 . . .2.2. . . .4.4.2. .32.64.4.4.,2,0
2. . . .2. . . .4.4.2.2.32.64.4.4.,2,7
 . . . .4. . .2.4.4.2.2.32.64.4.4.,2,7
 . . . . . . .2.8.4.2.4.32.64.4.4.,3,5
 . . . .2.2. . .8.4.2.4.32.64.8. .,2,3
 . . .2.2.2. . .8.4.2. .32.64.8.4.,2,3
 . . .2.2.2. . .8.4.2.2.32.64.8.4.,2,1
 .2. . .2.2. . .8.4.2.4.32.64.8.4.,1,2
 . .2.2. . . .4.8.4.2.4.32.64.8.4.,3,3
4. . .4.4. . . .8.4.2.4.32.64.8.4.,3,1
8.2. . .4. . . .8.4.2.4.32.64.8.4.,2,11
8. . . .4.2. . .8.4.2.2.32.64.8.8.,3,6
8. . . .4.2.2. .8.4.4. .32.64.16. .,3,15
8. . . .4.4. . .8.8. . .32.64.16.2.,3,7
8. . . .8. . .4.16. . . .32.64.16.2.,0,15
16.64.16.4.16. . .2.32. . . . . . .2.,0,6
32.64.16.4.32. .2.4. . . . . . . . .,3,12
32.64.16.4.32.2.4. . . . . .2. . . .,0,14
64.64.16.4.2.2.4. . . . . . . .2. .,0,14
64.64.16.4.2.2.4. . . .2. . . .2. .,3,10
128.16.4. .4.4. . .2. .2. .2. . . .,0,9
128.16.4. .4.4.2. .4.4. . . . . . .,3,9
128.16.4. .8.2. . .8.2. . . . . . .,0,13
128.16.4. .16.4. . . . . . . .2. . .,3,8
128.16.4. .16.4. . .2. . . .2. . . .,2,1
 .2. . .128. . . .16.16. . .4.4.4. .,0,11
128.2.4. .16.16. . .4.4. .2. . . . .,0,10
128.2.4.2.16.16. . .4.4.2. . . . . .,3,14
128.2.4.2.32. . . .8.2. . . . .2. .,0,13
128.4.4.2.32. .2. .8. . . . .2. . .,3,6
128.8.2. .32.2.2. .8. . . .2. . . .,2,10
128. . . .32. . . .8.8.2. .2.2.4. .,3,7
128. . . .32. . .2.16.2. . .4.4. . .,0,15
128.2. .2.32.4. . .16. . . .4. . .2.,2,5
128. . . .32.2. . .16.2. . .4.4. .4.,3,11
128. . . .32.2. . .16.2. .2.8.4. . .,3,14
128. . . .32.2. . .16.4. . .8.4.2. .,2,11
128. . . .32. . . .16.2. .2.8.8.2. .,2,7
128. . . .32. . .2.16.2. . .8.8.2.2.,3,14
128. . . .32.2. . .16.2. . .16.4.2. .,0,13
128.4.2. .32.4. . .32. . . . .2. . .,3,3
128.4.2.2.32.4. . .32. . . .2. . . .,0,15
128.8.2.2.64. . . .2. . . . . . .4.,3,3
