 . . . . . . . . . . . .2. . .2.,0,1
2.4. .2. . . . . . . . . . . . .,1,10
 .2.4.2. . . . . . .2. . . . . .,1,6
 .2.4.2. . .2. . . . .2. . . . .,3,5
2.4.2. .2.4. . .2. . . . . . . .,1,0
2.2.4.2. . .2.4. . . .2. . . . .,2,2
 . .2. . . . .2. . .4.4.2.2.2.2.,0,5
2.2.2.2. .2.4.4. . .2.2. . . . .,0,5
2.4.2.2. .2.4.4. . .2.2. . . . .,2,2
 . .4. . . .2.2. .4.4.4.2.2.2.2.,0,4
2.4.4.2.2.2.2.4. . .4.2. . .2. .,0,4
4.4.4.2.2.2.2.4. . .4.2. . .2. .,3,11
8.4.2. .4.2.4. .4.2. .2.2. . . .,3,10
8.4.2. .4.2.4. .4.4.2. .2. . . .,3,13
8.4.2. .4.2.4. .8.2. . .2.2. . .,0,3
8.4.2.2.4.4.4. .8.2. . .2. . . .,3,13
8.4.4. .8.4. . .8.2. . .2.2. . .,3,10
8.8. . .8.4. . .8.2.2. .4. . . .,3,13
16. . . .8.4. . .8.4. . .4.2. . .,0,15
16.8. . .16.2. . .4. . . . . . .4.,3,6
16.8. . .16.2.2. .4. . . .4. . . .,3,9
16.8. . .16.4. . .4.2. . .4. . . .,0,3
32.8. .2.8.4. . . .2. . . . . . .,3,9
32.8.2. .8.4. . .2.2. . . . . . .,2,3
 . . .2.32.8. . .8.4. . .2.2.2. .,0,10
32.8.2.2.8.4. . .2.2.2. . . . . .,0,11
32.8.4.2.8.4. . .2.2. .2. . . . .,0,15
32.8.4.4.8.4. . .2.2. . . . . .2.,0,6
32.8.4.4.8.4.2.2.2.2. . . . . . .,3,14
32.8.8. .8.4.4. .4. . . . . .2. .,0,12
32.8.8. .8.4.4. .4. .2. .2. . . .,3,2
32.16.2. .8.8. . .4.2. . .2. . . .,3,14
32.16.2. .16. . . .4.2. . .2. .2. .,2,10
32. . . .16. . . .4.16.4. .2.2.4. .,0,11
32.16.8. .16.2. . .4. . .4.2. . . .,0,11
32.16.8.4.16.2. . .4. . .2.2. . . .,1,4
32.16.8.4.2. .16.2. . .4.2. . . .2.,3,11
32.16.8.4.2.16.2. .4.2. .2.2. . . .,0,10
32.32.8.4.2.2.2.2.4. .2. .2. . . .,0,15
32.32.8.4.2.2.4.2.4. . . .2. . .2.,3,15
64.8.4. .4.4.2. .4. . . .4. . .2.,0,14
64.8.4.2.8.4.2. .4. . . . . .4. .,3,14
64.8.4.2.8.4.2. .4. . . .4. .2. .,0,14
64.8.4.2.8.4.4. .8. . . . . .2. .,0,15
64.8.8.2.16.4.2. . . . . . . . .4.,0,9
64.8.8.2.16.4.2.4. .2. . . . . . .,3,12
64.16.2. .16.4.2.4.2. . . .2. . . .,0,15
64.16.4.4.16.4. . .4. . . . . . .2.,0,14
64.16.4.4.16.4. .2.4. . . . . .2. .,0,10
64.16.4.4.16.4.2.2.4. .2. . . . . .,3,10
64.16.8. .16.4.4. .4.2.4. . . . . .,0,15
64.16.8. .16.4.8. .4.2. . . . . .2.,3,3
64.16.8.2.16.4.8. .4.2. . .2. . . .,0,7
64.16.16.2.16.4. .2.4.2. . .2. . . .,0,7
64.16.16.4.16.4. .2.4.2. . .2. . . .,3,14
64.32.4. .16.4.2. .4.2. . .2. .4. .,3,15
64.32.4. .16.4.2. .4.2. . .2.4. .2.,0,11
64.32.4.2.16.4.2. .4.2. .2.2.4. . .,3,11
