 . . .2. . . . . . . . .2. . . .,0,12
2. . .2. . . . . . . . .2. . . .,2,7
 . . . . . . .2. . . . .4. . .2.,1,3
 . . .2. . . .2. . . . . . .4.2.,3,9
2. . . .2. . . . .2. . .4.2. . .,1,2
 . .2.2. . . .2. . . .2. . .4.2.,3,10
4. . . .2. . . .2. .2. .4.2. . .,0,7
4.2.2. .4. . .2.4. . . . . . . .,3,13
4.4. . .4.2. . .4. . . . .2. . .,3,10
8. . . .4.2. . .4. .2. .2. . . .,3,13
8. . . .4.2. . .4.2. . .2.2. . .,1,9
 . . .8. . .4.2. .2.4.2. . . .4.,2,12
 . . . . . . .8. . . .4.4.2.8.4.,0,10
4.2.8.8. . . .8. . .2. . . . . .,0,11
4.2.8.16. . .2. . . . .2. . . . .,3,6
4.2.8.16.2. .2. .2. . . . . . . .,2,1
 .2. . . . . . .4. .8. .4.2.2.16.,1,9
 . . .2. . . . . .4.4.8. .4.4.16.,2,12
 . . . . . . .2. . . .8.2.8.8.16.,1,5
 . . . . .2. .2. . . .8. .2.16.16.,2,12
 . . . . . . .2. . . .8.4.4.16.16.,1,3
 . . .2. . . .2. . . .8. . .8.32.,0,8
 . .8.4. . . .8.2. . .32. . . . .,2,2
 . .2. . . . .4. . . .8.2. .8.32.,1,6
 . . .2. . .2.4. . . .8. .2.8.32.,2,6
 . . .2. . .2.4. . .2.8. .2.8.32.,2,2
 . .2.2. . . .4. . .4.8. .2.8.32.,2,1
 .2. .2. . .2.4. . .4.8. .2.8.32.,1,12
 . . .4. . .2.4. . .4.8.2.2.8.32.,1,5
 . . .4. .2.2.4. . .4.8. .4.8.32.,2,2
 . .2. . . .2.8. .2.4.8. .4.8.32.,1,12
 . . .2. . .2.8. .2.4.8.2.4.8.32.,2,5
 . . . . .4.2.2. .2.4.16.2.4.8.32.,1,0
2. . . . . .4.4. .2.4.16.2.4.8.32.,1,0
2. . .2. . . .8. .2.4.16.2.4.8.32.,2,0
2. . .2. . . .8. .2.4.16.4.4.8.32.,1,2
 . .2.4. . . .8. .2.4.16. .8.8.32.,1,13
 . .2.4. . . .8. .2.4.16. .2.16.32.,0,4
 .4.2.4.2. .4.8. . .16.16. . . .32.,2,8
 . . .4. . .2.8.2. .4.16.2.4.16.32.,1,1
 .2. .4. . .2.8. .2.4.16.2.4.16.32.,1,5
 . .2.4. .2.2.8. .2.4.16.2.4.16.32.,1,4
 . .2.4.2. .4.8. .2.4.16.2.4.16.32.,0,4
4.2.2.4.2.4.8.8. . .16.16. . . .32.,1,8
 .4.4.4. .2.4.16.2. . .32. . . .32.,2,3
 . . .2. . . .4. .4. .16.2.2.8.64.,1,2
 . .2.2. . . .4. . .4.16. .4.8.64.,2,1
 .2. .2. . .2.4. . .4.16. .4.8.64.,1,5
 . . .4. .2.2.4. . .4.16. .4.8.64.,2,1
 .2. . . . .2.8. .2.4.16. .4.8.64.,2,4
 . . . .2. .2.8. .4.4.16. .4.8.64.,1,4
 . . . .2. .4.8. . .8.16. .4.8.64.,1,1
 .4. . . .2.4.8. . .8.16. .4.8.64.,1,0
4. . .4. .2.4.8. . .8.16. .4.8.64.,2,2
 . .2.4. . . .8. .2.4.16.4.4.16.64.,0,12
4.2.2.4. .4.4.8. . .16.16.2. . .64.,0,13
4.2.2.4.2.4.4.8. . .16.16. .2. .64.,2,4
 . . .4.2.2.2.8.4.4.4.16.2.2.16.64.,0,13
2.2.2.4.4.4.4.8.2.2.16.16. .2. .64.,2,0
4. . .4.2.2.2.8.4.4.4.16.2.4.16.64.,1,4
 . . .8.2.2.4.8. .4.8.16.2.4.16.64.,1,8
 . . .8. .4.4.8.2.4.8.16.2.4.16.64.,1,4
 . . .8.2. .8.8.2.4.8.16.2.4.16.64.,1,5
 . . .8. .2.2.16.2.4.8.16.2.4.16.64.,1,2
 . .2.8. . .4.16.2.4.8.16.2.4.16.64.,2,3
 . .2.2. . .4.8. . .8.32.4.8.16.64.,0,8
4.8.2.2. . .4.8.2. .8.32. . .16.64.,0,5
4.8.2.2.2.4.4.8. . .8.32. . .16.64.,2,5
 . .2.2. .2.4.8.4.8.8.32.2.4.16.64.,1,0
2. . .4. .2.4.8. .4.16.32.2.4.16.64.,1,4
 . .2.4.4.2.4.8. .4.16.32.2.4.16.64.,2,0
2. . .4. . .2.8.4.2.4.32.2.8.32.64.,2,1
 .2. .4.2. .2.8.4.2.4.32.2.8.32.64.,2,2
 . .2.4.2. .2.8.4.4.4.32.2.8.32.64.,2,2
 . .2.4.2. .4.8.4.4.4.32.2.8.32.64.,1,0
2. .2.4. .2.4.8. .4.8.32.2.8.32.64.,0,12
4.2.2.4. .4.4.8. .8.8.32.2. .32.64.,2,0
2. .2.4. .2.4.8.4.4.8.32.2.8.32.64.,0,12
2.2.2.4.4.4.4.8.2.8.8.32.2. .32.64.,2,0
2. .2.4.2.2.4.8.4.4.8.32.4.8.32.64.,2,1
 .2.2.4. .2.4.8.4.4.8.32.8.8.32.64.,0,13
4.4.2.4.8.4.4.8. .8.8.32. .2.32.64.,1,0
2.8.2.4. .8.8.8. . .16.32. .2.32.64.,2,1
 .2.2.4. . .8.8. .16.16.32.2.2.32.64.,2,0
2. .2.4. .2.8.8. .16.16.32.2.2.32.64.,1,4
 . .4.4.2. .2.16. . .32.32. .4.32.64.,2,1
 .2. .4. . .4.16. . .2.32.2.4.64.64.,2,1
 .2. .4. . .4.16. .2.2.32.2.4.64.64.,1,1
 .2.2.4. . .4.16. . .4.32. .2.4.128.,1,9
 . .4.4. . .4.16. .2.4.32. .2.4.128.,1,1
 .2. .8. . .4.16. .2.4.32. .2.4.128.,0,9
 .4.8.8. .2.4.16. .4. .32. . . .128.,2,2
 . .2.8. .4. .16. .2.8.32. .4.4.128.,2,2
 . .2.8. .4.2.16. .2.8.32. .4.4.128.,1,13
 . .2.8. .4.2.16. .2.8.32. .2.8.128.,0,4
 .4.4.8.2.4.16.16. . . .32. . . .128.,1,10
 . .8.8. .2.4.32. . .2.32. . . .128.,1,13
 . . .16. .2.4.32. . .2.32. .2. .128.,1,4
 . . .16.2.2.4.32. . .2.32. . .2.128.,2,6
 . . . . . .2.16. . .4.64.2.2.4.128.,1,3
 . . .2. . .2.16. . .4.64. .4.4.128.,0,9
 .4.2.2. . .8.16. .2. .64. . . .128.,2,4
 . . .2.2. . .16. .4.2.64. .2.8.128.,2,6
 . . .2. . .4.16. .4.2.64.2.2.8.128.,1,0
4. . .2. . .4.16. .4.2.64. .4.8.128.,2,2
 . .2.2. . .4.16. . .2.64.4.8.8.128.,1,5
 . . .4. .2.4.16. . .2.64. .4.16.128.,0,9
 .2.4.4. .4.2.16. .2.16.64. . . .128.,1,4
 . .2.8.2.4.2.16. .2.16.64. . . .128.,0,12
2.4.4.8. .2.16.16. . . .64.2. . .128.,0,4
4.4.4.8.2.2.16.16. . . .64. . . .128.,1,9
 .4.8.8. . .4.32. .2. .64. . . .128.,0,0
2.4.8.8. .2.4.32. . . .64. . . .128.,2,1
 .2. .8. . . .32. .4.8.64.2.2.4.128.,2,6
 . . .8. .2.2.32. .4.8.64.2.2.4.128.,0,14
2.2.2.8. .4.8.32. .2.4.64. . .2.128.,1,12
 .2.4.8. .4.8.32. .2.4.64.2. .2.128.,0,13
2.2.4.8. .4.8.32. .2.4.64. .2.2.128.,1,12
 .4.4.8. .4.8.32. .2.4.64.2. .4.128.,1,1
 .2.8.8. .4.8.32. .2.4.64. .2.4.128.,2,2
 . .4.8. .2. .32. .4.16.64. .4.8.128.,2,8
 . . .8. . .4.32.2.2.16.64. .8.8.128.,2,4
 . . .8.2. .4.32. .2.16.64.2.8.8.128.,1,2
 . .2.8. .2.4.32. .2.16.64. .2.16.128.,2,4
 . . .8.2. .2.32. .2.4.64. .4.32.128.,1,4
 . . .8.2. .4.32. .2.4.64. .4.32.128.,0,9
2.2.8.8. .4.32.32. .4. .64. . . .128.,1,1
 .2.4.16. . .4.64. . .4.64. . . .128.,2,9
 . . . . . . .16. .2.4.128. .2.8.128.,2,3
 . . .2. . . . . . .4.16. .4.8.256.,2,9
 . . . . . . .2. .2.4.16. .4.8.256.,0,10
 .2.4.2. .4.8.16. . .2.256. . . . .,2,3
 . . .2. . .4.2. .2.8.16. .4.2.256.,2,12
 . . . . . .4.4. .2.8.16.2.4.2.256.,1,4
 . . . .2. . .8. .2.8.16.2.4.2.256.,1,5
 . . . . .2.2.8. .2.8.16.2.4.2.256.,1,3
 . . .4. . .4.8. .2.8.16.2.4.2.256.,0,13
2.2.4.4. .4.8.8. . .2.16. .2. .256.,0,8
2.2.4.4. .4.8.8.2.2.2.16. . . .256.,1,5
 . .4.8. .2.4.16. .2.4.16. . . .256.,3,2
4.8.2. .2.4.16. .2.4.16. .256. . . .,1,8
 .4.8.2. .2.4.16.2.2.4.16. . . .256.,2,4
 . . . .2. . .2. .4.8.32.2.4.8.256.,1,1
 .2. . . . . .4. .4.8.32.2.4.8.256.,1,6
 . . .2. . .2.4. .4.8.32.2.4.8.256.,2,6
 . . .2. . .2.4. . .2.32.2.8.16.256.,2,6
 . . .2. . .2.4. . .4.32.2.8.16.256.,0,13
2.8.2.2. . .4.4. . .16.32. .2. .256.,2,5
 . . .2. .2.2.4. .8.4.32.2.2.16.256.,1,5
 . . .2. .2.4.4. .8.4.32. .4.16.256.,2,6
 . . .2. .2.2.4. .8.8.32. .4.16.256.,1,4
 . . .2.2. .4.4. . .16.32. .4.16.256.,1,4
 . . .2.2. .2.8. . .16.32. .4.16.256.,1,12
 . . .2. . .4.8. . .16.32.2.4.16.256.,2,9
 . . .2. . . .8. .2.4.32.2.4.32.256.,3,6
2. . . .8. .2. .2.4.32. .2.4.32.256.,2,0
2. . . .2. . . .8. .2. .4.8.64.256.,1,5
 . . .2. .2. .2. . .8.2.4.8.64.256.,2,0
2. . . . . . .2. .2.8.4.4.8.64.256.,1,4
 . . .2.2. . .2. .2.8.4.4.8.64.256.,1,6
 . . .2. . .4.4. .2.8.4.4.8.64.256.,2,4
 . . . .2. .4.2. .2.8.8.4.8.64.256.,2,0
2. . . . . .4.2.2.2.8.8.4.8.64.256.,2,0
2. . . . . .4.2.4.2.8.8.4.8.64.256.,2,3
 . . .2. . .4.2.2.2.8.8.8.8.64.256.,2,1
 .2. . . . .4.4.2.2.8.8.8.8.64.256.,2,5
 . . . . .2.4.4.2.4.8.8.8.8.64.256.,1,8
 . . . . . .2.8.2.2.4.16. .16.64.256.,1,0
2. . . . . .2.8. .4.4.16. .16.64.256.,2,8
 . . . . . .2.8.2.4.4.16.2.16.64.256.,2,8
 . . . . . .2.8.2.4.4.16.4.16.64.256.,3,2
 . .2. .2.8. . .2.8.16. .4.16.64.256.,1,0
2. . .2. . .2.8. .2.8.16.4.16.64.256.,2,5
 . . .2. .2.2.8.2.2.8.16.4.16.64.256.,2,0
2. . .2. . .2.8.2.4.8.16.4.16.64.256.,3,2
4. .2. .2.8. . .2.4.8.16.4.16.64.256.,3,6
4.2. . .2.8.2. .2.4.8.16.4.16.64.256.,1,0
2. .4.2. .2.8.2.2.4.8.16.4.16.64.256.,1,4
 .2.4.2.2.2.8.2.2.4.8.16.4.16.64.256.,1,0
2.2.4.2. .4.8.2.2.4.8.16.4.16.64.256.,1,0
2.4.4.2. .4.8.2.2.4.8.16.4.16.64.256.,1,0
2.2.8.2. .4.8.2.2.4.8.16.4.16.64.256.,1,0
2.4.8.2. .4.8.2.2.4.8.16.4.16.64.256.,2,1
 .4. . . .4.8.4.4.8.16.16.4.16.64.256.,2,1
 .2. . . .8.8.4. .8.16.16.8.16.64.256.,2,0
4. . . . .2.8.4. .16.16.16.8.16.64.256.,1,1
 .2. .4. .2.8.4. . .16.32.8.16.64.256.,2,5
 . . . . .2.8.8. .4.16.32.8.16.64.256.,1,2
 . .2. . . .2.16. .4.16.32.8.16.64.256.,1,1
 .4. .2. . .2.16. .4.16.32.8.16.64.256.,2,0
2. . .2. . .2.16. .8.16.32.8.16.64.256.,2,2
 . .2.2. . .2.16.2.8.16.32.8.16.64.256.,3,6
4. . . .2.16.2. .2.8.16.32.8.16.64.256.,1,4
 . . .4.2.2.16.2.2.8.16.32.8.16.64.256.,2,1
 .2. .4. .2. .2.4.8.32.32.8.16.64.256.,2,0
2. . .4. .4. .2.4.8.32.32.8.16.64.256.,3,6
2.4. . .4.2.2. .4.8.64. .8.16.64.256.,3,6
2.4. . .4.4.2. .4.8.64. .8.16.64.256.,2,11
 . . . .2.8. . .8.8.2.2.8.16.128.256.,2,2
 . .2. . . . . .2.16.2.2.16.16.128.256.,2,3
 . . .2. . . . .2. .4.2.16.32.128.256.,3,11
2. . . . . . . .2.4.2.2.16.32.128.256.,1,2
 . .2.2. . . . . .2.4.4.16.32.128.256.,2,3
 . . .4. . .2.2. .2.4.4.16.32.128.256.,1,9
 . . .4. . . .4. .2.2.8.16.32.128.256.,1,9
 . . .4. . . .4. .2.4.8.16.32.128.256.,2,1
 .2. . . . . .8. .2.4.8.16.32.128.256.,1,5
 . . .2. .2. .8. .2.4.8.16.32.128.256.,1,8
 . . .2. . .2.8.2.2.4.8.16.32.128.256.,2,5
 . . . . .2.2.2.2.2.4.16.16.32.128.256.,2,2
 . .2. . . .2.2.2.4.4.16.16.32.128.256.,2,5
 . . . . .2.4.2.2.4.4.16.16.32.128.256.,2,3
 . . .2. .2. .2.2.4.8.16.16.32.128.256.,2,4
 . . . .2.2. .4.2.4.8.16.16.32.128.256.,2,3
 . . .2. .2. .4.4.4.8.16.16.32.128.256.,3,3
2. . .2.2.4. . .8.8.16. .16.32.128.256.,2,3
