 . . . . . . . .2.2. . . . . . .,0,11
2.2. . . . . . . . . .2. . . . .,1,8
 . . .4. . . . .2. . .2. . . . .,2,0
2. . . . . . . . . . .4.2. . .2.,3,2
2. .4. . . . . .4. . . .4. . . .,0,8
2. .4. .8. . . .2. . . . . . . .,1,6
 . .2.4. . .2.8. . . .2. . . . .,2,1
 .2. . . . . .4. . . .8. . .4.2.,3,1
2.2. . .4. . . .8. . . .4.2. . .,0,5
2.4. . .4.2. . .8. . . .4. . . .,1,9
 . .2.4. . .4.2. .2. .8. . . .4.,2,0
2. . .4. . . .2. . .2.8. .2.4.4.,3,10
2.4. . .2. . . .2.8.2. .2.8. . .,0,13
4.4.2. .4.16. . . . . . . .2. . .,1,11
 . .8.2. . .4.16. . . .2. . . .2.,2,0
4. . . . . . .2. . .8.16. . .4.4.,3,7
4. . . .2. . .2.8.16. . .8. . . .,0,2
4.16.4.2.2. . . .16. . . . . . . .,1,5
4.16.4.2. .2. .2. . . .16. . . . .,2,1
 .2. . . . . . . .16. .4.4.2.4.16.,3,5
2. . . . .2. . .16.4. . .4.2.4.16.,0,6
2.2.4.16.16.4.2. .4.2. . . . . . .,1,4
 .4.4.16.2.16.4.2. . .4.2. . . . .,2,5
 . . . . .2. . . .4.4.16.2.16.8.4.,3,11
 . . . .2. . . .8.16. .2.2.16.8.4.,0,9
2.32.8.2.8. . .4.2.2. . . . . . .,1,14
2.32.8.2. . .8.4. . . .4. . .2. .,2,9
 . . . . . . . . .2.16.2.2.32.2.8.,3,7
 . . . . . . .2.2.16.2. .2.32.2.8.,0,14
4.16.4.2. .32. .8. . . . . . .4. .,1,4
4.16.4.2.2. .32.8. . . . . . . .4.,2,9
 . . . . . . .2.4.4.4.8.2.16.32.4.,3,2
 . .2. .2. . . .8.4.8. .2.16.32.4.,0,7
2.4.2.4.8.16.8.2.2. .32. . . . . .,1,8
2.4.2.4.8.16.8.2.2. .2.32. . . . .,2,1
 .2. . .2. .2.4.8.4.8.2.2.16.2.32.,3,1
2.2. . .4.4. . .8.4.8.2.2.16.2.32.,0,15
2.2.8.2.4.8.2.32.8.16. . .2. . .2.,1,12
 .4.8.2.4.8.2.32. . .8.16.2. . .4.,2,1
 .2. .2. . .8.32.4.4.2.16.2.8.8.4.,3,11
4. . . .8.32. . .8.2.16.4.2.16.4. .,0,15
4.32.16.4.16.2.4. .2.16. . . . . .2.,1,13
4.32.16.4. .16.2.4. . .2.16. .2. .2.,2,0
4. . . . .32. .8. .16.16.16.4.2.4.2.,3,11
4. . . .32.8. . .32.16. .4.4.2.4.2.,0,12
4.8.4.4.64.16. .2.4.2. . .2. . . .,1,8
 .4.8.8. .64.16.2.2. .4.2. . . .2.,2,3
 . . .2. . .8.8. .4.16.2.2.64.4.4.,3,15
2. . . .16. . . .4.16.2. .2.64.8.2.,0,13
2.16.2.2.16.64.8. .4. . . .2.2. . .,1,0
4.2.16.4. .16.64.8. . . .4. . . .4.,2,2
 . .2. . . . .4. .2.16.8.4.16.64.8.,3,7
2. . . .4. . .2.2.16.8. .4.16.64.8.,0,10
2.32.8.2.4. .64.8.2. .2. .4. . . .,1,4
2.32.8.2.2.4.64.8. . . .4. . . .4.,2,1
 .2. . . . . .2. .32.8.8.4.4.64.8.,3,2
2. .2. .2. . . .32.16. . .8.64.8. .,0,9
4.16.2. .32.64.8. .8.2. . . . . . .,1,14
 .4.16.2. .32.64.8. . .8.2. . .2. .,2,8
 . .16. . . .64.2.4.4.8.8. .32.2.2.,3,2
16. .2. .64.2. . .8.16. . .32.4. . .,0,6
16.2.2. .64.16.2. .8.4. . .32. . . .,1,14
 . .16.4. .64.16.2. . .8.4. . .2.32.,2,5
 . . .4. .4.32.2. . .8.4. .64.2.32.,3,11
4. . . .4.32.2. .8.4. .4.64.2.32. .,0,13
8.32.2.4.8.4.32. .64.2. . . .2. . .,1,14
8.32.2.4. .8.4.32. . .64.2. . .2.2.,2,8
 . .2. . . .4.4.2.32.64.32.8.8.2.4.,3,5
2. . . .8.2. . .2.32.64.32.16.2.4. .,0,10
2.2.64.32.8.32.4. .2.2.2. .16. . . .,1,13
 .4.64.32. .8.32.4. . .2.4. .4. .16.,2,4
 . . . .2.4.64.32. .8.32.8. .4.2.16.,3,15
 . . . .2.4.64.32.8.32.8. .4.2.16.2.,0,13
2.4.64.32.8.32.8.2.4.2.16. . .2. . .,1,14
2.4.64.32.8.32.8.2. .4.2.16. . .2.2.,2,4
 . . .32.2.4.64.2.2.32.8.16.8.4.4.2.,3,3
32. . .2.2.4.64.2.2.32.8.16.8.8.2. .,0,14
32.4.64.4.4.32.8.16.8.8.2. . . .2. .,1,13
32.4.64.4.4.32.8.16. . .16.2. .2. .2.,2,3
 . . .2. .4.64.4.32.32.8.16.4.2.16.4.,3,2
2. .4. .4.64.4. .64.8.16. .4.2.16.4.,0,13
2.64.8.4.4.8.32. .64.2. . .4.2. . .,1,12
2.64.8.4. .4.8.32. . .64.2.2. .4.2.,2,0
2. . . . . .16.4. .64.64.32.4.4.4.4.,3,11
2. . . .16.4. . .128.32. .2.8.8. . .,0,13
2.4. .2.16.32. . .128.8. . .8.2. . .,1,13
 .2.4.2. . .16.32. . .128.8. .2.8.2.,2,5
 . .4.2. .2.16.32. . .128.8. .4.8.2.,3,3
4.2. .2.2.16.32. .128.8. . .4.8.2. .,0,7
4.2.32.2.2.16.2.2.128.16. . .4. . . .,1,9
4.2.32.2. .2.16.4. .2.128.16. . . .4.,2,1
 .4. .2. . .32.4. .2.16.16.4.4.128.4.,3,2
4.2.2. .32.4. . .2.32. . .8.128.4. .,0,3
4.2.2.2.32.4.4. .2.32. . .8.128. . .,1,12
 .4.2.4. . .32.8. . .2.32.2. .8.128.,2,8
 . .2.4. . .32.8.2. .2.32.2.4.8.128.,3,2
2.4.2. .32.8. . .4.32. . .2.4.8.128.,0,15
2.4.2.128.32.8.8. .4.32. . .2.4. .2.,1,4
2.4.2.128.2. .32.16. . .4.32. .2.4.2.,2,4
 . . .128.4. .2.16. .4.32.32.4.2.8.2.,3,3
128. . .2.4.2.16. .4.64. . .4.2.8.2.,0,15
128.2.16.4.8.64.8. .4.2. . . . . .2.,1,12
128.2.16.4. .8.64.8. . .4.2.2. . .2.,2,2
 . .2. . . .16.4.128.2.64.8.2.8.4.4.,3,6
2. . . .16.4.2. .128.2.64.8.2.8.8. .,0,11
2.4.2.8.16.2.64. .128.8.8.2.2. . . .,1,12
2.4.2.8. .16.2.64. .128.16.2.2. . .2.,2,8
 . . . . .4. .8.2.16.4.64.4.128.16.4.,3,6
 . . . .4.8.2. .2.16.4.64.4.128.16.4.,0,12
4.8.2.64.2.16.4.4.4.128.16. .2. . . .,1,14
4.8.2.64. .2.16.8. .4.128.16. . .2.2.,2,1
 .2.2.64. .8.16.8. .2.128.16.4.4.2.2.,3,14
4.64. . .8.16.8. .2.128.16. .8.4.2. .,0,7
4.64.8. .8.16.16.4.2.128.2. .8.4. . .,1,0
2.4.64.8. .8.32.4. .2.128.2. . .8.4.,2,4
 . .64.8.2.4.32.4. .8.128.2.2.2.8.4.,3,2
64.8.2. .2.4.32.4.8.128.2. .4.8.4. .,0,15
64.8.2.4.2.4.32. .8.128.2. .4.8.4.4.,1,12
64.8.2.4. .2.4.32. .8.128.2.2.4.8.8.,2,4
 .8.2.4.2.2.4.32.64.8.128.2.2.4.8.8.,3,3
8.2.4.2.4.4.32. .64.8.128.2.2.4.16. .,0,15
8.2.4.4.4.4.32. .64.8.128. .2.4.16.2.,1,0
2.8.2.8. . .8.32. .64.8.128.2.4.16.2.,2,0
2. . .8. .8.2.32. .64.16.128.4.4.16.2.,3,7
2.8. . .8.2.32.2.64.16.128. .8.16.2. .,0,14
2.8.32.2.8.2.128. .64.32.2. .8. .2. .,1,4
2.8.32.2.2.8.2.128. .64.32.2. . .8.2.,2,5
 . .32. . .2.2.2. .16.32.128.4.64.8.4.,3,1
32.2. . .4.2. . .16.32.128. .4.64.8.4.,0,7
32.4.128.4.4.32.8.2.16.64. . .4. . . .,1,12
32.4.128.4.4.32.8.2. . .16.64.2. . .4.,2,0
