4. . . . . . . . . . . . . . .4.,0,8
4. . .4. . . . .2. . . . . . . .,2,10
 . . . . . . . .4. .2. .2. . .4.,2,3
 . . .2. . . . .4. . . .2. .2.4.,0,11
4. .2.2.2. . .4. . . .2. . . . .,1,13
 . .4.4. . .2.4. . . .2. .2. . .,1,8
 . . .8. . .2.4.2. . .2. . . .2.,0,15
2. .2.8. . . .4. . . .4. . . .2.,0,10
2. .2.8. . . .8. . .2.2. . . . .,1,9
 . .4.8. . . .8. .4. .4. . . . .,1,13
 . .4.8. . . .8. . . .8. .2. . .,1,8
 . .4.8. . . .8.2. . .8. . . .2.,1,12
 . .4.8. . . .8. . .2.8.2. . .2.,1,9
 . .4.8. . . .8. .2.2.8. . . .4.,0,8
 .2.4.16. . .2.8.2. . .4. . . . .,0,4
2.2.4.16.2. .2.8. . . .4. . . . .,0,15
4.2.4.16. . .2.8. . . .4. . . .2.,2,4
 . . .16.2. . .8. . .4.4.4.2.2.2.,0,8
2.2.4.16.4. .2.8.2. . .4. . . .2.,2,5
 . . .16.2.2. .8.4. .4.4.2.2.2.2.,0,12
2.4.4.16.4. .2.8.2. . .4.2. . .2.,1,9
 .2.8.16. .4.2.8. .2.2.4. . . .4.,0,13
 .2.8.16. .4.4.8. .2. .8. .2. . .,1,8
 .2.8.16. . .8.8.2. .2.8. . . .2.,0,8
2.2.16.16. . .2.16.2. . .2. . . . .,0,12
4.2.16.32. . .2.2. . . . .2. . . .,0,8
4.2.16.32.2. .2.2.2. . . . . . . .,3,7
4.2.16.32.4.2. .2.2. . . . . . . .,1,4
4.2.16.32.2. .4.4. . . .2. . . . .,1,8
4.2.16.32. . .2.8.4. . .2. . . . .,1,8
4.2.16.32. . .2.8.4. .4.2. . . . .,0,8
8.2.16.32. . .2.8.2. .4.2. . . . .,1,15
8.2.16.32. . .2.8. .2.4.2. . . .2.,0,15
8.4.16.32. . .2.8. . .4.4. . . .2.,1,10
8.4.16.32. . .2.8. . .2.8. . . .2.,3,7
8.4.16.32.2.8. .2.2.8. . .2. . . .,0,13
8.4.16.32.4.16. .2.2. . . . .2. . .,1,14
8.4.16.32. .4.16.2. . . .2. . .2.2.,1,14
8.4.16.32. .4.16.2. . . .2. . .4.4.,0,4
8.8.32.32.2. .4.4. . . .4. . . . .,0,10
8.8.32.32.2. .4.8. . .2. . . . . .,1,4
 . .16.64.2.2.4.8. . . .2. . . . .,1,10
 . .16.64. .4.4.8. . .2.2. . . . .,1,0
2. .16.64. . .8.8. . . .4. . . . .,1,12
 .2.16.64. . . .16. . . .4.2. . . .,1,10
 .2.16.64. . . .16. . .2.4. . . .2.,0,8
 .2.16.64. . .2.16.2. . .4. . . .2.,2,9
 . . .64. . . .16. .2.16.4.2.2.2.2.,2,6
 . . .64. . .2.16. . .16.4.2.4.2.2.,0,5
2.4.2.64. .2.16.16. . .2.4. . . .2.,1,9
2.4.2.64. . .2.32. .2.2.4. . . .2.,0,10
2.4.4.64. .2.2.32. . .2.4. . . .2.,2,6
 . . .64. . .2.32. .4.4.4.2.2.4.2.,1,12
 . . .64. . .2.32. . .4.8.2.4.4.2.,1,2
 . .2.64. . .2.32. . .4.8. .2.8.2.,0,5
 .2.4.64. .2.4.32. . .8.8. . . .2.,0,4
 .4.8.64.2. .8.32. . . .8. . . .2.,1,8
 .4.8.64. .2.8.32.2. . .8. . . .2.,1,8
 .4.8.64. .2.8.32.2. .2.8. . . .2.,1,8
 .4.8.64. .2.8.32.2. .4.8. . . .2.,1,8
 .4.8.64. .2.8.32.2.2.4.8. . . .2.,1,13
 .4.8.64. .2.8.32. .4.4.8. .2. .2.,1,14
 .4.8.64. .2.8.32. . .8.8. . .4.4.,0,12
 .4.16.64. .2.8.32. . .4.8.2. . .4.,1,12
 .4.16.64. .2.8.32. . .4.8.2. .2.4.,2,0
4. .16.64. . .8.32. .4.4.8.2.2.2.4.,2,1
 .2.16.64. . .8.32.4.4.4.8.2.2.2.4.,2,1
 .2.16.64. .2.8.32.4.4.4.8.2.2.2.4.,0,12
4.4.16.64.2.4.8.32. .2.4.8.2. .2.4.,1,8
 .8.16.64.2.4.8.32.2.2.4.8. . .4.4.,0,12
4.8.16.64. .4.8.32. .2.8.8.2. . .4.,0,8
4.8.16.64.2.4.16.32.2.2. .8. . . .4.,1,12
4.8.16.64.2.4.16.32. . .4.8.2. . .4.,1,12
4.8.16.64.2.4.16.32. . .4.8.2. .2.4.,0,8
4.8.32.64.4.4.4.32.2. .2.8. . . .4.,0,13
8.8.32.64.2.4.4.32. . .2.8. .2. .4.,1,0
2.16.32.64. .2.8.32. . .2.8. . .2.4.,2,0
2. . .64. . .32.32. .16.8.8.2.2.4.4.,1,12
 . .2.64. . . .64. . .16.16.2. .4.8.,1,10
 . .2.64. . . .64. . .2.32. .2.4.8.,0,9
 .2.4.128. . .4.32. .2. .8. . . . .,1,8
 .2.4.128. . .4.32.2. .2.8. . . . .,1,12
 .2.4.128. . .4.32. . .4.8.2. . . .,1,12
 .2.4.128. . .4.32. . .4.8.2. . .2.,1,12
 .2.4.128. . .4.32. . .4.8.4. . .4.,1,4
 .2.4.128.2. .4.32. . .4.8. . . .8.,1,4
 .2.4.128.2.2.4.32. . .4.8. . . .8.,1,12
 .2.4.128. .4.4.32. . .4.8.2. . .8.,0,12
2.2.8.128. .4.4.32. . . .16.2. . . .,1,0
2.4.8.128. . .8.32. . . .16. . . .2.,0,10
2.4.16.128. . . .32. . .2.16. . . .2.,2,5
