 . . . .4.2. . . . . . . . . . .,1,15
 . . . . . .4.2. . . . . . . .2.,3,10
 . . . .4.2. . . . .2. .2. . . .,3,15
 . . . .4.2. . .2. . . .2. . .2.,1,9
 . . . . . .4.2. .2. .2. . . .4.,3,7
 . . . .4.2. .2.4. . . .4. . . .,1,14
 . . . . . .4.4. . . .4. . .2.4.,1,1
 .2. . . . . .8. . . .4. . .2.4.,1,2
 . .2.2. . . .8. . . .4. . .2.4.,1,10
 . . .4. . . .8. . .4.4. . .2.4.,0,10
 . .4.4. . .2.8. . .2.8. . . . .,1,9
 . . .8. . .2.8. .2.2.8. . . . .,1,8
 . . .8. . .2.8.2. .4.8. . . . .,1,2
 . .2.8. . .2.8. .2.4.8. . . . .,2,8
 . . . . . . . .2. .4.8. .2.4.16.,0,8
2.2.8.8. . . .16.2. . . . . . . .,0,5
4.2.8.8. .2. .16. . . . . . . . .,2,10
 . . . . . . . . . .2.8.4.4.8.16.,1,0
4. . . . . . . . . .2.8. .8.8.16.,2,1
 .2. . . . . . . . .2.8.4.8.8.16.,2,4
 . . . .2. . . . .2.2.8.4.8.8.16.,2,5
 . . . . .2. . .2.2.2.8.4.8.8.16.,2,6
 . . . . . .4. .2.4.2.8.4.8.8.16.,1,0
2. . . . . . .4.2.4.2.8. .4.16.16.,1,4
 . . .2.4. . .4.2.4.2.8. . .4.32.,0,10
4.4.2.2.2. .4.4. . .2.8. . . .32.,2,4
 . . .2.2. .2.4.4. .4.8.2.4.2.32.,0,13
2.4.2.2.4. .4.4.2. .2.8. .4. .32.,1,13
 .2.4.4. . .4.8. . .4.8. .2.4.32.,1,0
2. .2.8. . .4.8. . .4.8. .2.4.32.,1,4
 . .4.8.2. .4.8. . .4.8. .2.4.32.,1,4
 . .4.8.2.2.4.8. . .4.8. .2.4.32.,0,4
2.4.8.16.4. .8.8. . . .32. . . . .,1,13
2.4.8.16. . .4.16. . . .32. .2. . .,0,15
2.4.8.32. .2.4.32. . . . . . . .2.,0,12
2.4.8.64. .2.4.2. . . . .2. . . .,3,15
2.4.8.64.2.4.2. . . . . .2. . .2.,3,10
2.4.8.64.2.4.2. . . .2. .4. . . .,1,10
2.4.8.64. .2.4.2. . .2.2. . . .4.,1,8
2.4.8.64. .2.4.2.2. . .4. . . .4.,1,8
2.4.8.64. .2.4.2.2. .2.4. . . .4.,3,7
2.4.8.64.2.4.2.2.4.4. . .4. . . .,1,9
2.4.8.64. .2.4.4. .4. .8. . . .4.,1,13
2.4.8.64. . .2.8. . .4.8. .2. .4.,1,12
2.4.8.64. . .2.8. . .4.8.2. .2.4.,1,12
2.4.8.64. . .2.8. . .4.8.2. .4.4.,1,12
2.4.8.64. . .2.8. . .4.8.2. .2.8.,0,5
4.4.8.64. .2.2.16. . .4.8. . .2. .,1,12
 .8.8.64. . .4.16. . .4.8.2. . .2.,1,8
 . .16.64. . .4.16.2. .4.8. . . .4.,1,0
2. .16.64. . .4.16. .2.4.8. . . .4.,1,13
 .2.16.64. . .4.16. .2.4.8. .2. .4.,1,12
 .2.16.64. . .4.16. .2.4.8.2. .2.4.,1,13
 .2.16.64. . .4.16. .2.4.8. .2.4.4.,1,0
2.2.16.64. . .4.16. .2.4.8. . .2.8.,1,5
 .4.16.64. .2.4.16. .2.4.8. . .2.8.,0,13
 .4.16.64. .4.8.16. . .2.16. .2. . .,1,4
 .4.16.64.2.4.8.16. . .2.16. . . .2.,0,13
2.8.16.64. . .8.32. . .2.2. .2. . .,0,13
2.8.16.64. .2.8.32. . .2.2. .2. . .,0,14
2.8.16.64. .4.8.32. . .2.2. . .2. .,1,13
2.8.16.64. .4.8.32. . . .4. .2. .2.,0,14
2.8.16.64. .4.8.32. .2. .4. . .4.2.,0,4
2.8.16.64.2.4.8.32. .2.4.4. . . .2.,3,13
2.8.16.64.2.4.8.32.2.8. . .2.2. . .,0,12
4.8.16.64.4.4.8.32. .8. . .2.2. . .,1,8
4.8.16.64. .8.8.32.2. . .8. . . .4.,0,9
4.16.16.64.2. .8.32. .2. .8. . . .4.,1,14
 .4.32.64. .2.8.32. . .2.8. . .2.4.,2,8
 . . .64. . .32.32.2.4.8.8. .2.4.4.,1,8
 . . .64. . . .64.2.2.4.16. . .2.8.,0,9
2.2.4.128. . .2.16. .4. .8. . . . .,0,15
2.2.4.128. .4.2.16. . . .8. . . .2.,2,1
 .2. .128. . . .16. .2.4.8.2.4.2.2.,1,5
 . .2.128. .2. .16. .2.4.8. .2.4.4.,1,12
 . .2.128. . .2.16. .2.4.8.2. .2.8.,1,4
 . .2.128.2. .2.16. .2.4.8. . .4.8.,0,13
2.2.4.128. . .8.16. . . .16. .2. . .,1,9
 .4.4.128. . .8.16. .4. .16. . . .2.,1,0
2. .8.128. . .8.16. . .4.16. . . .2.,1,5
 .2.8.128. .2.8.16. . .4.16. . . .2.,2,5
 . . . . .2. .128. . .16.32. .4.4.2.,0,15
 .2.16.128. .4.4.32. . . .2. . . .2.,1,12
 .2.16.128. . .8.32. . . .2.2. . .2.,1,4
 .2.16.128.2. .8.32. . . .2. . . .4.,1,8
 .2.16.128. .2.8.32.2. . .2. . . .4.,1,9
 .2.16.128. .2.8.32. .2. .4. . . .4.,1,9
 .2.16.128. .2.8.32. .4.2.4. . . .4.,0,0
2.4.16.128. .4.8.32. . .2.8. . . . .,3,12
2.4.16.128.4.8.32. .2.8. . .2. . . .,1,9
2.4.16.128. .4.8.32. .2.2.8. . . .2.,1,14
2.4.16.128. .4.8.32. . .4.8. . .2.2.,2,4
 . .16.128.2. .8.32. . .4.8.2.8.2.2.,0,9
4.8.16.128. . .8.32. .2.4.8. . .2.2.,0,4
4.8.16.128.4.2.8.32. . .4.8. . .2.2.,1,9
4.8.16.128.4.2.8.32. .2.4.8. . . .4.,3,11
4.8.16.128.4.2.8.32.2.4.8.2.4. . . .,0,13
8.8.16.128.2.2.16.32.4.4. .2. .2. . .,1,0
2.16.16.128. .4.16.32. . .8.2. . . .2.,0,13
2.16.32.128. .4.8.32. . . .4. .4. . .,1,8
2.16.32.128. .4.8.32.2. . .4. . . .4.,1,13
2.16.32.128. .4.8.32. . .2.4. .2. .4.,1,4
2.16.32.128.2.4.8.32. . .2.4. . .2.4.,3,10
2.16.32.128.2.4.8.32.2.4.4. .2.4. . .,0,15
4.16.32.128.4.8.8.32. .4.4. . . . .2.,3,9
4.16.32.128.4.16.32. .8.2. . .2. . . .,0,14
8.32.64.128.8.2. . .2. . . . . .2. .,3,14
8.32.64.128.8.2. . .2. . . .2. .2. .,1,8
8.32.64.128. . .8.2.2. . .2. . . .4.,3,13
8.32.64.128.8.2. . .4. . . .4.2. . .,0,11
16.32.64.128.8.4. . . . . .2. . . . .,0,9
16.32.64.128.8.4. .2. .2. . . . . . .,3,11
16.32.64.128.8.4.2. .2. . .2. . . . .,0,9
16.32.64.128.8.4.2.2.2.2. . . . . . .,3,14
16.32.64.128.8.4.4. .4. . . . . .2. .,0,13
16.32.64.128.8.4.4. .4. .2. . .2. . .,3,6
16.32.64.128.8.8.2. .4.2. . .2. . . .,3,10
16.32.64.128.16.2. . .4.2.2. .2. . . .,0,7
32.32.64.128.4.4.2.2.2. . . . . . . .,3,3
64.64.128.2.8.4. . .2. . . . . . . .,3,14
128.128.2. .8.4. . .2. . . . . .2. .,3,14
256.2. . .8.4. . .2. . . .2. .2. .,3,10
256.2. . .8.4. . .2. .2. .4. . . .,0,11
256.2.2. .8.4. . .2. . .2.4. . . .,3,13
256.4. . .8.4. . .4. . . .4.2. . .,0,11
256.8. . .8.2. . .8. . .2. . . . .,0,9
256.8. .2.16.2. . . .2. . . . . . .,0,9
256.8. .2.16.4. . . .2. . . . . . .,3,14
256.8.2. .16.4. . .2. . . . . .2. .,3,3
256.8.2.2.16.4. . .2. . . .2. . . .,3,3
256.8.4.2.16.4. . .2. . . .2. . . .,0,13
256.8.4.2.16.4. . .4. . . . .2. . .,3,10
256.8.4.2.16.4. . .4. .2. .2. . . .,3,10
256.8.4.2.16.4. . .4.2.2. .2. . . .,0,10
256.8.4.2.16.4.2. .4.2.2. .2. . . .,3,7
256.8.4.2.16.4.2.2.4.4. . .2. . . .,0,9
256.8.4.4.16.8.2. .4.4. . .2. . . .,0,15
256.16.4.4.16.4.2. .4. . . .2. . .2.,0,14
256.16.4.4.16.4.2.2.4. . . .2. .2. .,3,14
256.16.8. .16.4.4. .4. . . .4. .2. .,3,3
256.16.8.2.16.8. . .4. . . .4.2. . .,1,8
256.16.8.2. . .16.8.2. . .4. . .4.2.,1,8
256.16.8.2. . .16.8.2. .2.4. . .4.2.,3,11
256.16.8.2.16.8. . .4.4. .2.4.2. . .,3,6
256.16.8.2.16.8.4. .8.2. . .4.2. . .,2,11
256. . . .16.16. . .8.8.8.2.4.4.4.2.,2,1
256.2. . .16.16. . .8.8.8. .4.4.4.4.,3,6
256.2. . .32. .2. .16.8. . .8.8. . .,3,11
256.2. . .32.2. . .16.8. .2.16. . . .,3,2
256.2.2. .32.2. . .16.8.2. .16. . . .,0,12
256.4.4. .32.8. . .32. . . .2. . . .,0,15
256.4.4. .64.8. . .2. . . . . . .2.,0,13
256.4.4.2.64.8. . .2. . . . .2. . .,0,11
256.4.4.2.64.8. . .2.2. .2. . . . .,0,7
256.4.4.4.64.8. .2.2.2. . . . . . .,3,11
256.8.4. .64.8.2. .4. . .2. . . . .,3,11
256.8.4. .64.8.2. .4.2. .2. . . . .,3,3
256.8.4.2.64.8.2. .4.4. . . . . . .,3,13
256.8.4.2.64.8.2. .8. . . . .2. . .,3,10
256.8.4.2.64.8.2. .8. .2. .2. . . .,3,15
256.8.4.2.64.8.2. .8.2. . .2. . .2.,3,13
256.8.4.2.64.8.2. .8.2. . .4.2. . .,0,9
256.16.4.2.64.4.2. .8.2. . .4. . . .,2,2
256. .2. .64.16. . .8.4.4. .4.2.2.2.,0,14
256.16.2.2.64.4.4. .8.2.2. .4. .2. .,3,6
256.16.4. .64.8.2. .8.4. . .4.2. . .,2,11
256.16. . .64.8. . .8.4.4.4.4.2.2. .,0,10
256.16.4.4.64.8.2. .8.4.4. .4.2. . .,2,7
256.16. . .64.8.4.2.8.4.2. .4.2.4.4.,0,15
256.16.4.2.64.8.2.4.8.4.4. .4.2. .2.,0,14
256.16.4.2.64.8.2.4.8.4.4.2.4.2.2. .,2,3
256.16.4.2.64.8.2.2.8.4.4.4.4.2.2.2.,0,15
256.16.4.4.64.8.2.4.8.4.4.2.4.2.2.2.,2,3
256.16.4.2.64.8.2. .8.4.4.8.4.2.2.4.,2,3
256.16.4.2.64.8.2.2.8.4.4.8.4.2.2.4.,3,15
256.16.4.2.64.8.4. .8.8.8. .4.4.4.2.,0,15
256.16.8.4.64.16.8. .8.4.4. .4. . .2.,3,14
256.16.8.4.64.16.8. .8.8. . .4.2.2. .,3,7
256.16.8.4.64.16.8.2.16. . . .4.4. . .,3,10
256.16.8.4.64.16.8.2.16. .2. .8. . . .,3,10
256.16.8.4.64.16.8.2.16.2.2. .8. . . .,3,15
256.16.8.4.64.16.8.2.16.4. . .8. . .2.,3,14
