 . . .2. . . . . . . . . .2. . .,0,8
 .2. .2. . . . .2. . . . . . . .,0,9
2.2. .2. . . . . .2. . . . . . .,1,0
2. .2.4. . . . . . . .2. . . . .,2,13
 . . . . . . . . . . .4.2.4.2.2.,0,10
2.4.2.4. . . .2. . .2. . . . . .,3,10
2.4.2.4.2. . . .2. .2. . . . . .,3,5
2.4.2.4.2.2. . .4. . . . . . . .,2,6
 . . . . . .2. .4.4. . .4.2.2.4.,0,13
8.4.4.4. .2. . . . . . . .2. . .,2,4
 . . . .2. . . . .4. . .8.4.4.4.,3,10
 . . . .2. . . .4. .2. .8.8.4. .,3,3
 . . .2.2. . . .4.2. . .16.4. . .,2,6
 . . . .2. .2. .4.2. . .16.4. .2.,2,10
 . . . .2. . . .4.2.2. .16.4.2.2.,0,13
2.2.4.2.4.4. . .16. . . . .2. . .,0,6
2.2.4.2.4.4.2. .16.2. . . . . . .,2,7
 . . . .2.2. .4.4.4.4. .16.2.2.2.,2,6
 . . . .2.2.2. .4.4.4.4.16.2.2.2.,3,6
 . . . .4.2.2. .8.8. . .16.4.2. .,2,3
 . . .4.4.2. . .8.8. . .16.4.4. .,2,2
 . .2. .4.2. . .8.8. . .16.4.4.4.,2,11
 . . . .4.2. . .8.8.2.2.16.4.4.4.,3,6
 . . . .4.2.2. .16.4. . .16.8.4. .,2,11
 . . . . .2. . .4.4.2.2.32.8.4. .,2,3
 . . .2. .2. . .4.4.2. .32.8.4.2.,2,11
 . . . . .2. . .4.4.2.2.32.8.4.4.,3,0
2. . . .2. . . .8.4. . .32.8.8. .,0,7
4.4.8. .8.8. .2.32. . . . . . . .,3,13
8.8. . .16.2. . .32. . . . .2. . .,0,12
8.8. . .16.4. . .32. . . .2. . . .,3,1
16.2. . .16.4. . .32. . . .2. . . .,0,10
32.2. . .32.4. . .2. .2. . . . . .,3,13
32.2. . .32.4. . .4. . . . .2. . .,3,9
32.2. . .32.4. . .4.2. . .2. . . .,0,12
64.2. . .4.4. . .2.2. . .2. . . .,3,7
64.2. . .8. . .2.4. . . .2. . . .,0,9
64.2. .2.8. . . .4.2. . .2. . . .,3,14
64.4. . .8. . . .4.2. . .2. .2. .,2,10
64. . . .8. . . .4.4.4. .2.2.2. .,0,7
64.4.4. .8.2.2.2.4. . . .2. . . .,2,1
64.4. . .8. . . .4.4.4. .2.2.2.2.,0,7
