 . . . . . .2. . . .2. . . . . .,3,13
 . . . .2. . . .2. . . . .2. . .,3,3
 . . .2.2. . . .2. . . .2. . . .,0,14
4. . .2.2. . . . . . . . . .2. .,2,7
 . . . . . . .2.4. . . .2. .2.2.,2,4
 . . . .2. . . .4. . . .2. .2.4.,0,6
2. .2.4.4. .2. .2. . . . . . . .,2,9
 . . . .2. . . .4.4. . .2. .4.4.,2,7
 . . . .2. . .2.4. . . .2.4.4.4.,2,3
 . . .2.2. . . .4. . .2.2.4.4.4.,0,5
2.4.4.4.4.2. .4.2. . . . . . . .,2,2
 . .2. .2. . . .4.4. . .2.2.4.8.,2,5
 . . . .2.2. . .4.4.2. .2.2.4.8.,0,15
2.2.2.8.4.4.4. .2.2. . . . . .2.,1,10
 .2.4.8. . .4.8. . .2.4. . . .2.,0,0
2.2.8.16. . .2.4. . . .2. . . . .,1,4
 .4.8.16.2. .2.4. . . .2. . . . .,0,9
2.4.8.16. . .2.4. .4. .2. . . . .,1,9
2.4.8.16. . .2.4. .2.4.2. . . . .,3,6
2.4.8.16.2.4.2. .2.4.2. . . . . .,1,12
2.4.8.16. .2.4.2. .2.4.2.2. . . .,1,8
2.4.8.16. .2.4.2.2.2.4.2. . . .2.,1,13
2.4.8.16. .2.4.2. .4.4.2. .2. .2.,0,15
2.4.8.16. .2.8.4. .4. .2. .2. .2.,1,4
2.4.8.16.2.2.8.4. . .4.2. . . .4.,1,12
2.4.8.16. .4.8.4. . .4.2.2. . .4.,1,13
2.4.8.16. .4.8.4. . .4.2. .2.2.4.,0,9
2.8.16.16. .2.4.4. .2.2.2. . . .4.,0,12
2.8.16.16. .4.4.4. . .2.2.2. . .4.,0,14
4.8.16.16. .4.4.4. . .2.2. . .4.4.,2,4
 . .16.16.2. .4.4. .8.2.2.4.4.4.4.,0,12
2.8.16.16.4.4.4.4. . .2.2.2. .4.4.,2,0
2. .16.16.2. .4.4.4.8.2.2.2.4.4.4.,0,12
4.8.16.16.4.4.4.4.2. .2.2.2. .4.4.,0,8
8.8.16.16.4.4.4.4.2. .2.2. . .4.4.,3,7
16.32. . .8.8. .2.4.2. . .8. . . .,3,13
16.32. . .16.2. . .4.2. . .8.2. . .,0,7
32.32. . .4.4. .2.8.2. . . . . . .,0,15
32.32. .2.4.4. . .8.2. . . . . .2.,0,15
32.32. .4.4.4. . .8.2. . . . . .2.,0,14
32.32. .4.4.4. .2.8.2. . . . .2. .,0,13
32.32.2.4.4.4. .2.8.2. . . .2. . .,3,14
64.2.4. .8.2. . .8.2. . .2. .2. .,3,10
64.2.4. .8.2. . .8.2.2. .4. . . .,3,14
64.2.4. .8.2. . .8.4. . .4. .2. .,3,14
64.2.4. .8.2. . .8.4. . .4.2.2. .,3,7
64.2.4. .8.2. .2.8.4. . .4.4. . .,0,11
64.4.4.2.16.8. . .4. . .2. . . . .,0,12
64.4.4.4.16.8. . .4. . . .2. . . .,3,10
64.8.4. .16.8. . .4. .2. .2. . . .,2,2
64. .2. .16. . . .4. .4. .2.16.2. .,0,13
64.16.2. .16. .4. .4. .2. .2.2. . .,2,3
64. . .2.16. .2. .4.16.4. .2.2.2. .,2,5
64. . . .16.2.2. .4.16.4. .2.2.2.2.,0,7
64.2.2.2.16.16.4.2.4.2.2. .2. . . .,3,10
64.4.2. .32.4.2. .4.4.2. .2. . . .,3,7
64.4.2. .32.4.2.2.8.2. . .2. . . .,3,10
64.4.2. .32.4.4. .8.2.2. .2. . . .,2,5
64. . . .32.4.2. .8.8.4. .2.2.2. .,0,13
64.4.2. .32.8.4. .8.2.2. .2.2. . .,2,3
