 . . . .2.2. . . . . . . . . . .,0,7
2.2. . . . . .2. . . . . . . . .,0,9
2.2. .2. . . . . .2. . . . . . .,1,9
 . .2.4. . . . . .2. .2. . . . .,2,8
 . . . . . . . .2. . .4. .2.2.2.,2,10
 . . . . . . . . . .2.4.2.2.2.2.,2,4
 . . . .2. . . . . . .4.2.2.4.2.,0,12
4.2.4.4. . . .2. . . . .2. . . .,0,6
4.2.4.4.2. .4.2. . . . . . . . .,0,11
4.2.8.4.2. . .2. . . .2. . . . .,0,9
4.2.8.4.2. . .4. .2. . . . . . .,3,10
4.2.8.4.2.4. . .2. .2. . . . . .,3,11
4.2.8.4.2.4. . .4. . .2. . . . .,0,6
4.2.8.4.2.4.2.2.4. . . . . . . .,1,14
4.2.8.4. .2.4.4. . . .4. . .2. .,0,4
4.4.8.8.4. .4.4. . .2. . . . . .,3,12
8.16. . .8.4. . .2. . . .2. . . .,1,0
2. .8.16. . .8.4. . . .2. . . .2.,1,4
 .2.8.16.2. .8.4. . . .2. . . .2.,1,0
4.2.8.16. .2.8.4. . . .2. . . .2.,3,14
4.2.8.16.2.8.4. .2. . . .2. .2. .,3,7
4.2.8.16.2.8.4.2.2. . . .4. . . .,1,10
4.2.8.16.2.8.4.2. . .2.2. . . .4.,0,12
4.2.8.16.2.8.4.4. . .2.4.2. . . .,1,9
4.2.8.16. .2.8.8. .2.2.4. . . .2.,0,12
4.4.16.16. .2.2.8. . . .4.2. . .2.,0,14
4.4.16.16.2.2.2.8. . . .4. . .2.2.,0,10
4.4.16.16.2.2.4.8. . .2.4. . . .2.,1,0
2. .8.32. .4.4.8. . .2.4. . . .2.,0,14
2.4.8.32. . .4.8. . .2.4. . .2.2.,1,13
2.4.8.32. . .4.8. . .2.4. .2. .4.,1,12
2.4.8.32. . .4.8. . .2.4.2. .2.4.,1,4
2.4.8.32.2. .4.8. . .2.4. . .4.4.,1,4
2.4.8.32.2.2.4.8. . .2.4. . . .8.,2,4
 . . .32.2. .8.8. .4.4.4.4.2.2.8.,2,2
 . .2.32. . .8.8.2.4.4.4.4.2.2.8.,1,4
 . .2.32.2. . .16. .2.4.8. .4.4.8.,2,8
 . . . . . . .32.2.2.2.16.2.4.8.16.,2,3
 . . .2. . . . . .2.2.32.4.4.8.32.,2,0
2. . . . . . . . .2.2.2.4.4.8.64.,2,1
 .2. . . . . . .2.2.2.2.4.4.8.64.,2,0
2. . . . . . . .2.4.2.2.4.4.8.64.,2,1
 .2. . . . . . .4. .2.2.4.8.8.64.,2,8
 . . . . . . . .2.2.2.2.8.8.8.64.,1,9
 . . . . . . . . .2.4.4. .8.16.64.,1,6
 . . . . . .2. . . .2.8. .8.16.64.,1,1
 .2. . . . . .2. . .2.8. .8.16.64.,1,2
 . .2.2. . . .2. . .2.8. .8.16.64.,1,6
 . . .4. . .2.2. . .2.8. .8.16.64.,1,6
 . . .4. . .4.4. . .2.8. .8.16.64.,2,3
 . . .2. . .4.8. . .2.8. .8.16.64.,2,0
2. . . . . .4.2. . .2.16. .8.16.64.,2,0
2. . . . . .4.2. . .2.16.2.8.16.64.,2,5
 . . . . .2.4.2. . .2.16.4.8.16.64.,2,8
 . . . . . .4.2.2.2.2.16.4.8.16.64.,3,1
 .2. . .4.2. . .4.2.16. .4.8.16.64.,3,1
2.2. . .4.2. . .4.2.16. .4.8.16.64.,3,3
4. . .2.4.2. . .4.2.16. .4.8.16.64.,3,2
4.2.2. .4.2. . .4.2.16. .4.8.16.64.,3,2
4.4.2. .4.2. . .4.2.16. .4.8.16.64.,1,5
 . .8.2. .2.4.2. .4.2.16.4.8.16.64.,2,3
 . .8.2. .2.4.4. .4.2.16.4.8.16.64.,1,0
2. .8.2. . .2.8. .4.2.16.4.8.16.64.,2,1
 .4. .2. . .8.8.2.4.4.16.4.8.16.64.,2,0
2. . .2. . .8.8.2.8.4.16.4.8.16.64.,1,2
 . .2.4. . . .16.2.8.4.16.4.8.16.64.,2,9
 . . . . . .2.4.2.2.4.32.4.16.16.64.,1,4
 . . . .2. .2.4. .4.4.32. .4.32.64.,2,1
 .2. . . . .2.4. . .4.32.2.8.32.64.,2,5
 . . . . .2.2.4. .2.4.32.2.8.32.64.,3,3
 . . .4.4.4. . .2.4.32. .2.8.32.64.,2,3
 . . .4. . . . .4.8. .4.4.8.64.64.,1,2
 . .2.4. . . . . .4.8.4. .4.8.128.,2,9
 . . . . . . . . .2.2.8. .8.16.128.,1,8
 . . . . . . . .4. .4.8. .8.16.128.,2,0
2. . . . . . . . . .4.8.4.8.16.128.,1,1
 .2. .2. . . . . . .4.8.4.8.16.128.,1,8
 . . .4. . . . .2. .4.8.4.8.16.128.,2,3
 . . .2. . . .4.2. .4.8.4.8.16.128.,1,1
 .4. .2. . . .4. .2.4.8.4.8.16.128.,1,4
 . .4.2.2. . .4. .2.4.8.4.8.16.128.,3,11
4.2. . .2.4. . .2.4.8.2.4.8.16.128.,2,6
 . . . .4.2.2. .4.8.8.2.4.8.16.128.,1,4
 . . . .4. .4.4. .4.16.2.4.8.16.128.,3,11
 . . . .8.4. . .4.16.2.2.4.8.16.128.,1,1
 .4. . . . .8.4. .4.16.4.4.8.16.128.,1,1
 .2. .4. . .8.4. .4.16.4.4.8.16.128.,1,4
 . .2.4.2. .8.4. .4.16.4.4.8.16.128.,1,1
 .2.2.4. .2.8.4. .4.16.4.4.8.16.128.,1,0
2. .4.4. .2.8.4. .4.16.4.4.8.16.128.,1,1
 .2.2.8. .2.8.4. .4.16.4.4.8.16.128.,1,4
 . .4.8.4.2.8.4. .4.16.4.4.8.16.128.,2,0
2. . . . .2.4.8. .4.8.8.8.8.32.128.,2,7
 . . . . .2.4.4.2.4.8.16.8.8.32.128.,1,5
